Country,Limiting Magnitude,Coordinates,Longitude_x,Latitude_x,Latitude_y,Longitude_y,Park,Date
United States - Arizona,6,"[31.9583, -110.949]",-110.949,31.9583,32.2967,-111.167,Saguaro National Park,2007-03-08
United States - Arizona,6,"[32.49, -110.9]",-110.9,32.49,32.2967,-111.167,Saguaro National Park,2007-03-10
United States - Arizona,6,"[32.6102, -110.797]",-110.79700000000001,32.6102,32.2967,-111.167,Saguaro National Park,2014-10-14
United States - Arizona,6,"[32.6103, -110.797]",-110.79700000000001,32.6103,32.2967,-111.167,Saguaro National Park,2014-09-14
United States - Arizona,6,"[32.6131, -110.755]",-110.755,32.6131,32.2967,-111.167,Saguaro National Park,2014-12-01
United States - Arizona,6,"[32.3725, -111.128]",-111.12799999999999,32.3725,32.2967,-111.167,Saguaro National Park,2014-04-28
United States - Arizona,6,"[32.2416, -110.993]",-110.993,32.2416,32.2967,-111.167,Saguaro National Park,2014-04-27
United States - Arizona,6,"[32.2541, -110.802]",-110.802,32.2541,32.2967,-111.167,Saguaro National Park,2014-04-28
United States - Arizona,6,"[32.3725, -111.128]",-111.12799999999999,32.3725,32.2967,-111.167,Saguaro National Park,2014-03-31
United States - Arizona,6,"[32.1545, -110.996]",-110.99600000000001,32.1545,32.2967,-111.167,Saguaro National Park,2014-03-29
United States - Arizona,6,"[36.0468, -112.144]",-112.14399999999999,36.0468,36.107,-112.113,Grand Canyon National Park,2014-09-21
United States - Arizona,6,"[36.0595, -112.11]",-112.11,36.0595,36.107,-112.113,Grand Canyon National Park,2014-09-25
United States - Arizona,6,"[36.0571, -112.145]",-112.145,36.0571,36.107,-112.113,Grand Canyon National Park,2014-09-24
United States - Arizona,6,"[36.0529, -112.121]",-112.12100000000001,36.0529,36.107,-112.113,Grand Canyon National Park,2014-09-25
United States - Arizona,6,"[32.2694, -110.967]",-110.96700000000001,32.2694,32.2967,-111.167,Saguaro National Park,2009-03-17
United States - Arizona,6,"[32.2686, -110.966]",-110.96600000000001,32.2686,32.2967,-111.167,Saguaro National Park,2009-03-19
